event_id,match_id,home_team,away_team,team,opponent,player,position,shirt_number,minute,second,event_type,x,y,outcome,xg
1,1,Barau,Remo Stars,Remo Stars,Barau,Femi Osazuwa,LW,25,0,1,Pass,86.34,44.65,Complete,0.0
2,1,Barau,Remo Stars,Remo Stars,Barau,Femi Osazuwa,LW,25,0,7,Pass,79.13,75.36,Complete,0.0
3,1,Barau,Remo Stars,Barau,Remo Stars,Joseph Nnamdi,ST,27,0,9,Successful Dribble,57.88,46.27,Complete,0.0
4,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Osazuwa,CAM,12,0,12,Corner,83.96,36.55,Complete,0.0
5,1,Barau,Remo Stars,Barau,Remo Stars,Tunde Osazuwa,CB,23,0,14,Turnover,54.39,80.0,Complete,0.0
6,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Usman,LW,10,0,17,Shot,114.44,42.2,On Target,0.434
7,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Ogundele,LB,1,0,20,Corner,74.32,13.69,Complete,0.0
8,1,Barau,Remo Stars,Barau,Remo Stars,Chukwuemeka Ojo,LW,11,0,26,Pass,54.69,5.45,Complete,0.0
9,1,Barau,Remo Stars,Remo Stars,Barau,Damilare Onuoha,CM,24,0,45,Tackle,72.3,54.75,Complete,0.0
10,1,Barau,Remo Stars,Remo Stars,Barau,Musa Osazuwa,CAM,2,0,45,Tackle,13.33,67.18,Complete,0.0
11,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Ogundele,LB,1,0,47,Foul,61.17,45.92,Complete,0.0
12,1,Barau,Remo Stars,Barau,Remo Stars,Suleiman Okonkwo,LW,9,0,50,Turnover,82.21,17.79,Complete,0.0
13,1,Barau,Remo Stars,Barau,Remo Stars,Daniel Adisa,CAM,22,0,56,Pass,83.56,53.31,Complete,0.0
14,1,Barau,Remo Stars,Barau,Remo Stars,Emmanuel Oyelaran,GK,28,0,57,Successful Dribble,14.16,20.06,Complete,0.0
15,1,Barau,Remo Stars,Remo Stars,Barau,Peter Ogundele,CB,13,0,59,Pass,116.62,39.9,Complete,0.0
16,1,Barau,Remo Stars,Remo Stars,Barau,Femi Osazuwa,LW,25,1,1,Pass,88.68,40.61,Complete,0.0
17,1,Barau,Remo Stars,Remo Stars,Barau,Victor Mustapha,GK,1,1,7,Dangerous Pass,101.82,69.42,Complete,0.0
18,1,Barau,Remo Stars,Remo Stars,Barau,Praise Lawal,CDM,11,1,7,Successful Dribble,51.11,38.11,Complete,0.0
19,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Chukwu,RW,28,1,13,Interception,51.51,66.12,Complete,0.0
20,1,Barau,Remo Stars,Barau,Remo Stars,Tunde Osazuwa,CB,23,1,15,Pass,27.92,36.75,Complete,0.0
21,1,Barau,Remo Stars,Remo Stars,Barau,Praise Lawal,CDM,11,1,44,Successful Dribble,56.09,28.19,Complete,0.0
22,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Osazuwa,CAM,12,2,0,Dangerous Pass,95.14,15.53,Incomplete,0.0
23,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Usman,LW,10,2,1,Pass,14.62,39.03,Complete,0.0
24,1,Barau,Remo Stars,Remo Stars,Barau,Peter Ogundele,CB,13,2,8,Pass,12.71,41.81,Complete,0.0
25,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Usman,LW,10,2,10,Pass,20.47,21.47,Complete,0.0
26,1,Barau,Remo Stars,Barau,Remo Stars,Tunde Osazuwa,CB,23,2,25,Cross,92.01,22.53,Complete,0.0
27,1,Barau,Remo Stars,Barau,Remo Stars,Musa Nnamdi,GK,26,2,31,Turnover,44.81,14.44,Complete,0.0
28,1,Barau,Remo Stars,Remo Stars,Barau,Peter Ogundele,CB,13,2,34,Pass,13.86,35.24,Complete,0.0
29,1,Barau,Remo Stars,Barau,Remo Stars,Olamide Etim,RW,16,2,35,Interception,78.86,41.41,Complete,0.0
30,1,Barau,Remo Stars,Barau,Remo Stars,Adewale Ibrahim,RB,12,2,58,Pass,28.63,0.0,Complete,0.0
31,1,Barau,Remo Stars,Barau,Remo Stars,Joseph Nnamdi,ST,27,3,11,Successful Dribble,37.24,35.09,Complete,0.0
32,1,Barau,Remo Stars,Remo Stars,Barau,Daniel Chukwu,CAM,8,3,23,Interception,80.34,30.56,Complete,0.0
33,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Usman,LW,10,3,24,Foul,17.34,29.32,Complete,0.0
34,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Osazuwa,CAM,12,3,29,Foul,28.94,80.0,Complete,0.0
35,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Ogundele,LB,1,3,30,Pass,47.24,47.04,Complete,0.0
36,1,Barau,Remo Stars,Remo Stars,Barau,Peter Ogundele,CB,13,3,36,Interception,20.76,34.96,Complete,0.0
37,1,Barau,Remo Stars,Barau,Remo Stars,Musa Nnamdi,GK,26,3,44,Turnover,68.37,25.13,Complete,0.0
38,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Usman,LW,10,3,47,Tackle,83.31,74.65,Complete,0.0
39,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Adeyemi,CM,9,3,53,Tackle,69.74,43.66,Complete,0.0
40,1,Barau,Remo Stars,Remo Stars,Barau,Femi Osazuwa,LW,25,4,4,Pass,18.39,32.34,Complete,0.0
41,1,Barau,Remo Stars,Remo Stars,Barau,Rasheed Mohammed,GK,29,4,7,Pass,68.69,0.0,Complete,0.0
42,1,Barau,Remo Stars,Remo Stars,Barau,Femi Osazuwa,LW,25,4,17,Red Card,93.84,18.56,Complete,0.0
43,1,Barau,Remo Stars,Barau,Remo Stars,Musa Balogun,RW,3,4,30,Successful Dribble,115.01,80.0,Complete,0.0
