Stat,Events,Passes,Pass Accuracy Pct,Shots,Shots On Target,Goals,Xg,Fouls,Tackles,Interceptions,Yellow Cards,Red Cards,Possession Pct
events,1.0,0.52,-0.24,0.16,-0.31,-0.23,0.09,-0.13,0.58,0.3,0.21,-0.58,1.0
passes,0.52,1.0,-0.52,-0.37,-0.53,-0.25,-0.33,0.05,-0.06,0.06,-0.08,0.0,0.52
pass_accuracy_pct,-0.24,-0.52,1.0,0.35,0.69,-0.01,0.31,-0.42,0.3,0.07,-0.1,0.24,-0.25
shots,0.16,-0.37,0.35,1.0,0.67,0.23,0.95,-0.1,0.24,0.06,-0.22,-0.64,0.16
shots_on_target,-0.31,-0.53,0.69,0.67,1.0,0.29,0.61,-0.44,0.01,0.03,-0.27,-0.02,-0.31
goals,-0.23,-0.25,-0.01,0.23,0.29,1.0,0.16,0.49,-0.44,0.22,0.28,0.05,-0.23
xg,0.09,-0.33,0.31,0.95,0.61,0.16,1.0,0.0,0.13,-0.06,-0.17,-0.56,0.09
fouls,-0.13,0.05,-0.42,-0.1,-0.44,0.49,0.0,1.0,-0.42,-0.17,0.54,-0.06,-0.12
tackles,0.58,-0.06,0.3,0.24,0.01,-0.44,0.13,-0.42,1.0,-0.1,-0.03,-0.35,0.58
interceptions,0.3,0.06,0.07,0.06,0.03,0.22,-0.06,-0.17,-0.1,1.0,0.12,-0.05,0.29
yellow_cards,0.21,-0.08,-0.1,-0.22,-0.27,0.28,-0.17,0.54,-0.03,0.12,1.0,0.06,0.21
red_cards,-0.58,0.0,0.24,-0.64,-0.02,0.05,-0.56,-0.06,-0.35,-0.05,0.06,1.0,-0.58
possession_pct,1.0,0.52,-0.25,0.16,-0.31,-0.23,0.09,-0.12,0.58,0.29,0.21,-0.58,1.0
