Team,Matches,Goals,Xg,Shots,Shots On Target,Avg Possession Pct,Avg Pass Accuracy Pct,Fouls,Yellow Cards,Red Cards,Goals Per Match,Xg Per Match,Shot Conversion Pct
Kano Pillars,1,0.0,11.86,39.0,11.0,51.3,82.7,25.0,4.0,0.0,0.0,11.86,0.0
Katsina United,1,2.0,11.24,36.0,13.0,49.0,87.0,27.0,6.0,1.0,2.0,11.24,5.6
Barau,1,0.0,11.04,37.0,15.0,52.1,84.3,15.0,3.0,0.0,0.0,11.04,0.0
Remo Stars,2,7.0,21.799999999999997,73.0,26.0,48.9,82.8,54.0,9.0,1.0,3.5,10.9,9.6
Enugu Rangers,1,1.0,10.78,35.0,10.0,50.1,81.9,26.0,6.0,0.0,1.0,10.78,2.9
Enyimba,1,3.0,9.95,33.0,10.0,49.1,79.8,31.0,5.0,0.0,3.0,9.95,9.1
Kwara United,2,1.0,17.810000000000002,62.0,22.0,48.6,84.0,43.0,8.0,1.0,0.5,8.91,1.6
Nasarawa United,1,1.0,8.74,30.0,10.0,50.9,82.2,17.0,2.0,1.0,1.0,8.74,3.3
Niger Tornadoes,1,2.0,8.37,30.0,6.0,53.7,81.6,28.0,6.0,0.0,2.0,8.37,6.7
Kun Khalifat,1,2.0,7.24,23.0,10.0,48.7,82.9,26.0,9.0,2.0,2.0,7.24,8.7
