Match Id,Team,Events,Passes,Pass Accuracy Pct,Shots,Shots On Target,Goals,Xg,Fouls,Tackles,Interceptions,Yellow Cards,Red Cards,Possession Pct
1,Barau,434.0,217.0,84.3,37.0,15.0,0.0,11.04,15.0,42.0,30.0,3.0,0.0,52.1
1,Remo Stars,399.0,216.0,81.0,30.0,9.0,2.0,9.7,29.0,21.0,31.0,3.0,1.0,47.9
2,Enugu Rangers,417.0,193.0,81.9,35.0,10.0,1.0,10.78,26.0,45.0,24.0,6.0,0.0,50.1
2,Remo Stars,416.0,193.0,84.5,43.0,17.0,5.0,12.1,25.0,34.0,40.0,6.0,0.0,49.9
3,Katsina United,408.0,200.0,87.0,36.0,13.0,2.0,11.24,27.0,34.0,32.0,6.0,1.0,49.0
3,Kwara United,425.0,204.0,82.4,30.0,8.0,0.0,8.85,24.0,35.0,40.0,7.0,0.0,51.0
4,Enyimba,409.0,213.0,79.8,33.0,10.0,3.0,9.95,31.0,20.0,29.0,5.0,0.0,49.1
4,Nasarawa United,424.0,214.0,82.2,30.0,10.0,1.0,8.74,17.0,36.0,39.0,2.0,1.0,50.9
5,Kano Pillars,427.0,214.0,82.7,39.0,11.0,0.0,11.86,25.0,44.0,31.0,4.0,0.0,51.3
5,Kun Khalifat,406.0,211.0,82.9,23.0,10.0,2.0,7.24,26.0,31.0,31.0,9.0,2.0,48.7
6,Kwara United,386.0,194.0,85.6,32.0,14.0,1.0,8.96,19.0,39.0,28.0,1.0,1.0,46.3
6,Niger Tornadoes,447.0,223.0,81.6,30.0,6.0,2.0,8.37,28.0,48.0,33.0,6.0,0.0,53.7
